編號,路名,公里長,道路等級,鄉鎮別,lon,lat
1,中山路,1.2,主要道路,金湖鎮,118.364975,24.4413821
2,西海路一段,1.5,主要道路,金城鎮,118.2906709,24.4124946
3,西海路二段,1.1,主要道路,金城鎮,118.3041626,24.4144371
4,西海路三段,1.7,主要道路,金城鎮,118.3124964,24.4226194
5,伯玉路一段,1.3,主要道路,金寧鄉,118.3267756,24.4346914
6,伯玉路二段,2.3,主要道路,金寧鄉,118.3416148,24.4414563
7,伯玉路三段,2.5,主要道路,金湖鎮,118.3646755,24.4460136
8,伯玉路四段,0.8,主要道路,金湖鎮,118.3798588,24.4470039
9,沙青路,3.8,主要道路,金沙鎮,118.4130838,24.5066188
10,金水路,3.3,主要道路,金城鎮,118.307751,24.40241
11,金港路,1.6,主要道路,金湖鎮,118.4341546,24.4172342
12,桃園路,4,主要道路,金寧鄉,118.3446627,24.4317794
13,珠水路,3.3,主要道路,金城鎮,118.3077405,24.4021607
14,頂林路,4.1,主要道路,金寧鄉,118.3246113,24.4625018
15,慈湖路一段,0.9,主要道路,金寧鄉,118.3117387,24.4416084
16,慈湖路二段,1.2,主要道路,金寧鄉,118.3086295,24.4503462
17,慈湖路三段,2.3,主要道路,金寧鄉,118.3001065,24.4637277
18,經武路,2.7,主要道路,金湖鎮,118.3875082,24.4434136
19,寧湖路,2.2,主要道路,金寧鄉,118.3037454,24.4728141
20,盤果路,1.8,主要道路,金寧鄉,118.3423814,24.4390088
21,環島北路一段,2,主要道路,金寧鄉,118.3283226,24.4462231
22,環島北路二段,3.4,主要道路,金寧鄉,118.3537405,24.452631
23,環島北路三段,3.7,主要道路,金湖鎮,118.388325,24.466263
24,環島北路四段,2,主要道路,金湖鎮,118.4045085,24.4840105
25,環島西路一段,4.1,主要道路,金城鎮,118.3184801,24.4172073
26,環島西路二段,3.5,主要道路,金寧鄉,118.3148723,24.4566699
27,環島東路一段,2.1,主要道路,金沙鎮,118.4213083,24.4841071
28,環島東路二段,1.6,主要道路,金沙鎮,118.4328094,24.4713308
29,環島東路三段,1.6,主要道路,金湖鎮,118.4412269,24.4597558
30,環島東路五段,3.2,主要道路,金湖鎮,118.446814,24.4338343
31,環島東路四段,1.8,主要道路,金湖鎮,118.4527137,24.4487036
32,環島南路一段,3.7,主要道路,金城鎮,118.3345375,24.4189091
33,環島南路三段,4.4,主要道路,金湖鎮,118.3757827,24.4398961
34,環島南路五段,2.8,主要道路,金湖鎮,118.4239844,24.4324232
35,環島南路四段,2,主要道路,金湖鎮,118.40101,24.438041
36,瓊徑路,2.5,主要道路,金湖鎮,118.3837181,24.4489328
37,九井路,4,次要道路,烈嶼鄉,118.2439073,24.4317335
38,八青路,2.4,次要道路,烈嶼鄉,118.2364682,24.422863
39,三多路,3.8,次要道路,金湖鎮,118.4374297,24.441638
40,士校路,4.8,次要道路,金湖鎮,118.4271704,24.4453138
41,大山路,2.7,次要道路,金沙鎮,118.4508048,24.4804742
42,大學路,0.5,次要道路,金寧鄉,118.325279,24.4466751
43,公園路,1.15,次要道路,金湖鎮,118.4000276,24.4435686
44,太湖路一段,2.3,次要道路,金湖鎮,118.4047483,24.4473343
45,太湖路二段,0.9,次要道路,金湖鎮,118.4170143,24.4394812
46,太湖路三段,2.3,次要道路,金湖鎮,118.4317691,24.4347503
47,四維路,2.5,次要道路,金湖鎮,118.4499743,24.4314346
48,市港路,1.2,次要道路,金湖鎮,118.4099121,24.4348324
49,玉章路,0.8,次要道路,金湖鎮,118.412711,24.4615568
50,光華路一段,3.1,次要道路,金沙鎮,118.428921,24.4909929
51,光華路二段,2.9,次要道路,金沙鎮,118.416441,24.514868
52,西峰路,1.7,次要道路,金湖鎮,118.4504593,24.4273377
53,西園路,4,次要道路,金沙鎮,118.4043962,24.5084626
54,伯玉路五段,1.5,次要道路,金湖鎮,118.3897645,24.4505133
55,林堡路,1.4,次要道路,金寧鄉,118.3345146,24.4434579
56,林湖路,3.8,次要道路,金寧鄉,118.330303,24.4320985
57,金山路,4.2,次要道路,金城鎮,118.3277754,24.4167689
58,南機路,3,次要道路,金湖鎮,118.43907,24.4451895
59,埔華路,2.9,次要道路,金沙鎮,118.4550046,24.4639639
60,高陽路,4,次要道路,金沙鎮,118.4078483,24.4727311
61,湖埔路,3.3,次要道路,烈嶼鄉,118.258388,24.4413942
62,陽沙路,7.5,次要道路,金沙鎮,118.432385,24.4814738
63,黃海路,3.6,次要道路,金湖鎮,118.4256931,24.452032
64,環島南路二段,2.2,次要道路,金寧鄉,118.3542572,24.4312377
65,雙瓊路,1.5,次要道路,金湖鎮,118.3660576,24.4501741
66,瓊安路,6,次要道路,金寧鄉,118.343873,24.4603508
67,瓊義路,1.6,次要道路,金湖鎮,118.3750744,24.4504136
68,蘭洋路,4.8,次要道路,金沙鎮,118.3898548,24.4781702
69,柏村路,1,次要道路,金湖鎮,118.437923,24.423185
70,復國路,1.2,次要道路,金湖鎮,118.4236758,24.4310209
71,安東路,1.2,次要道路,金沙鎮,118.4349186,24.4794581
72,堡山路,1.85,次要道路,金寧鄉,118.3424309,24.4530326
73,環中路,1.7,次要道路,金湖鎮,118.3912208,24.4595516
74,中環路,0.35,次要道路,金城鎮,118.324816,24.440719
75,北環道,6.4,次要道路,烈嶼鄉,118.2451207,24.4485288
76,南環道,11.6,次要道路,烈嶼鄉,118.2444316,24.4205763
77,東湖路,1.8,次要道路,金寧鄉,118.3402849,24.4220911
78,太湖環湖道路,1.3,道路,金湖鎮,118.427355,24.442159
79,市港一路,0.14,道路,金湖鎮,118.410302,24.437794
80,市港二路,0.14,道路,金湖鎮,118.410033,24.438699
81,民生路,1,道路,金城鎮,118.3190184,24.43575
82,民族路,0.85,道路,金城鎮,118.3157499,24.4302723
83,民權路,1.2,道路,金城鎮,118.3168946,24.4355379
84,光武路,0.5,道路,金湖鎮,118.4281481,24.4509306
85,光前路,0.7,道路,金城鎮,118.3142468,24.4339885
86,馬山聯外道路,1.2,道路,金沙鎮,118.4090452,24.5200431
87,延平路,0.75,道路,金城鎮,118.304405,24.424809
88,前港路,0.75,道路,金湖鎮,118.4128229,24.4323834
89,南山路,1.6,道路,金寧鄉,118.310079,24.484231
90,泰仰路,1.05,道路,金城鎮,118.309912,24.416594
91,浯江北堤路,0.95,道路,金城鎮,118.3167419,24.4294062
92,國中路,0.23,道路,金沙鎮,118.4143889,24.4891988
93,國順街,0.12,道路,金湖鎮,118.4164921,24.4390937
94,崑崙路,0.5,道路,金湖鎮,118.417167,24.436577
95,賢城路,0.55,道路,金城鎮,118.3179361,24.4248601
96,瓊林街,0.3,道路,金湖鎮,118.3748039,24.4513589
